127.0.0.1 - - [29/May/2019:20:07:00 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/May/2019:20:07:06 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [29/May/2019:20:07:15 +0530] "GET /Spring_MVC_Overview/athlete/displayForm HTTP/1.1" 500 7001
0:0:0:0:0:0:0:1 - - [29/May/2019:20:08:13 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [29/May/2019:20:08:13 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [29/May/2019:20:08:14 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [29/May/2019:20:08:16 +0530] "GET /Spring_MVC_Overview/athlete/displayForm HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [29/May/2019:20:09:00 +0530] "POST /Spring_MVC_Overview/athlete/registerAthleteWithValidation HTTP/1.1" 200 2949
0:0:0:0:0:0:0:1 - - [29/May/2019:20:10:49 +0530] "POST /Spring_MVC_Overview/athlete/registerAthleteWithValidation HTTP/1.1" 200 454
